asin,review_id,reviewer_name,rating,rating_text,review_title,review_date,verified_purchase,helpful_votes,review_body,source_page
B016NRXO06,customer_review-R1BK2XFCOYG1QS,TheFaceLadyG,5.0,5.0 out of 5 stars,5.0 out of 5 stars I Keep Coming Back to This — One of the Best Cleansers I’ve Used at Any Price,"Reviewed in the United States on March 22, 2026",Verified Purchase,18 people found this helpful,"I’m 52 and post-menopausal, with dry, increasingly sensitive skin, and I’ve tried just about every cleanser out there—from Sulwhasoo to Medicube to La Roche-Posay and everything in between. This COSRX Low pH Good Morning Gel Cleanser is one I keep coming back to, and that says a lot. What makes this stand out is how balanced and consistent it is. It cleans effectively, but never feels harsh. The gel texture creates a light, gentle lather that removes what it needs to without overdoing it. My skin always feels clean, fresh, and comfortable, never tight or stripped. The low pH formula really does make a difference, especially for mature skin. It helps maintain that sense of balance and keeps my skin from feeling disrupted after cleansing. That’s something I notice immediately, especially compared to more aggressive cleansers. I use this mostly as a morning cleanse, and it’s perfect for that. It wakes up the skin, removes any overnight buildup, and leaves my face feeling refreshed without needing to “recover” afterward. That said, it also works well as a gentle second cleanse at night. What I really appreciate is that it doesn’t try to do too much. It’s not heavy, not overly active, and not complicated—it just does its job really well, and that’s exactly why it works. The texture is lightweight and easy to use, and a small amount goes a long way, so the tube lasts. For the price, it’s honestly an excellent value, especially considering how it performs compared to much more expensive cleansers. The scent is light and fresh, slightly herbal/clean, and not overpowering. It adds to the experience without being irritating. After trying so many cleansers across all price ranges, this is one that I consistently trust. It keeps my skin balanced, comfortable, and looking its best without any drama.",1
B016NRXO06,customer_review-R1JUONJBXHIFG5,Miamiac,5.0,5.0 out of 5 stars,5.0 out of 5 stars Very nice cream to foam cleanser,"Reviewed in the United States on June 23, 2026",Verified Purchase,6 people found this helpful,"Unexpected great texture. This is a very dense cream to foam cleanser, that spreads easily on skin like a balm, and then turns sudsy with the addition of water. A heart shaped opening for dispensing on this nice large tube. A little goes a long way. It will last a long time. Pleasant moisturized and clean rinsing formula that was very effective on makeup and sunscreen removal. There is a smoothing action from the PHA.",1
B016NRXO06,customer_review-R3N3NCHJ4OK5N7,Abhishek,5.0,5.0 out of 5 stars,5.0 out of 5 stars Gentle and Effective Cleanser,"Reviewed in the United States on July 25, 2026",Verified Purchase,,"This cleanser leaves my skin feeling clean without drying it out. It’s gentle, foams well, and is perfect for everyday use, especially for sensitive skin. Great value and highly recommend!",1
B016NRXO06,customer_review-R1IKW38ZFBLCL2,Luffy’s Mom I Real Life Tester,4.0,4.0 out of 5 stars,"4.0 out of 5 stars Gentle, Safe, and Effective Cleanser for Sensitive, Acne-Prone Skin","Reviewed in the United States on December 28, 2025",Verified Purchase,18 people found this helpful,"I’ve repurchased this low pH facial wash multiple times because it’s gentle and cleans my skin really well. I have oily, acne-prone skin, and if your skin is super oily, you may need to wash twice. For sensitive skin, this cleanser is perfect. It comes in a large bottle, lasts a long time, and my husband and I both use it. The scent is very mild, it contains tea tree oil, and it foams easily, though the bubbles aren’t very dense. After washing, my skin feels smooth and soft. This cleanser won’t shrink acne or remove blackheads, but it’s great for keeping skin clean. ⸻ Pros: • Gentle and suitable for sensitive skin • Cleans oily, acne-prone skin effectively • Large bottle lasts a long time • Mild scent, contains tea tree oil • Foams easily and rinses clean • Safe ingredients, Yuka App approved • Affordable and good value Cons: • Bubbles are not very dense • Super oily skin may require washing twice",1
B016NRXO06,customer_review-R33SRCHVOK9UIX,Mica,5.0,5.0 out of 5 stars,"5.0 out of 5 stars Very effective and balanced, great k-beauty product","Reviewed in the United States on May 24, 2026",Verified Purchase,2 people found this helpful,"This is a modal window. No compatible source was found for this media. Skin type- Normal Age-47 Skin concerns- aging, fine lines, collagen loss I’ve been using this several months. It has a little bit more of a cleansing kick than some of the other K-cleaners I’ve used. This is my go to for the second step of oil cleansing. First I use oil from another line to cleanse the first time, next I use this to pull all the toxins out of my pores that the oil loosened up. It doesn’t leave my skin dry. This is a lightweight gel cleanser that is effective and smooth. There is no pump. You just gently squeeze the bottle. I love it.",1
B016NRXO06,customer_review-R1NCG0TSEWLXS1,Aleyna,5.0,5.0 out of 5 stars,5.0 out of 5 stars Best Cleanser on the Market,"Reviewed in the United States on February 3, 2026",Verified Purchase,12 people found this helpful,"I have been using this specific face cleanser for years now, and when I have tried other cleansers, I always make my way back to this one! I have sensitive skin and some psoriasis around my nose, and I have always struggled to find a good cleanser that doesn't strip my face away, this one is perfect. First off, I love the bottle it comes in, it's soft enough to squeeze every ounce out of it, and you get A LOT of products. You really just need just a little bit to work in your palms. It has a very faint tea tree oil scent to it, which I don't mind at all, and I actually find quiet relaxing. It is a clear gel, no color to it and no weird consistency either. You can really make it nice and foamy if you work it in your palms. Every time I use this cleanser, I feel clean, refreshed and glowing. COSRX makes some pretty amazing cleansers and toners in my opinion. If you have sensitive, dry skin and are prone to flaking, try this out ASAP!!!",1
B016NRXO06,customer_review-R15YXEIY5VHS1J,Jo,5.0,5.0 out of 5 stars,5.0 out of 5 stars Gentle on Sensitive Skin!,"Reviewed in the United States on May 15, 2026",Verified Purchase,5 people found this helpful,"I was searching for a mild PH face cleanser because I'd read an article recently about how much we're stripping natural oils away from our face with harsh cleansers. I struggle with adult acne and thought I would give this a try for my morning routine. I'm absolutely shocked with how this is working on my skin. It's not leaving my face oily or unwashed, and I've seen a reduction in my outbreaks after over a month of using this product. I have sensitive skin as well and I haven't had any adverse reactions to this product. It lathers really well, which was surprising for me, and washes off. It has a slight scent but isn't overbearing, and I don't smell it on my skin post-shower. You don't need much to get a solid cleanse, so this will last you a while. These are really key details for me when shopping for a soap or skin-product. Overall, I highly recommend this product.",1
B016NRXO06,customer_review-RVLSN8UJEXKBI,JK,3.0,3.0 out of 5 stars,"3.0 out of 5 stars Too aggressive, strips out so much your body creates even more oil","Reviewed in the United States on July 21, 2026",Verified Purchase,One person found this helpful,"Not for me, I have combined skin, this is waaaay to aggressive, it strips everything out then my skin goes into overdrive trying to create more oil. For those that need gentler cleansers this gel cleanser is not the one.",1
B016NRXO06,customer_review-R21QR2NKNZB6BW,Krysten,5.0,5.0 out of 5 stars,5.0 out of 5 stars Great way to start your skincare routine in the am,"Reviewed in the United States on July 25, 2026",Verified Purchase,One person found this helpful,"Such a lovely way to start the day washing your face with this. It smells great, has a nice lather, and doesn’t dry my skin out. It’s refreshing and easy to use. I have sensitive skin and this has been so gentle to use daily. I also have one for my preteen daughter who has issues with acne currently and it’s gentle on her skin as well.",1
B016NRXO06,customer_review-R2C8KMAVV94JC5,Maria T.,5.0,5.0 out of 5 stars,5.0 out of 5 stars EXCELENTE!,"Reviewed in the United States on July 22, 2026",Verified Purchase,,"¡Excelente limpiador facial! Me encanta. Es perfecto para piel grasa, ya que limpia profundamente sin resecar la piel. Después de cada uso, mi rostro queda muy terso, suave y con una agradable sensación de limpieza. Además, ayuda a controlar el exceso de grasa y deja la piel fresca. Sin duda, volveré a comprarlo. ¡Lo recomiendo totalmente!",1
